Fornavn;Midt initial;Etternavn;User login name;Avdeling;Passord;mobiltelefon
Lars;K;Hansen;<see naming convention>;Administrasjon;;+47 923 45 678
Erik;B;Johansen;<see naming convention>;Slags;;+47 912 34 567
Bjørn;T;Olsen;<see naming convention>;Utviklings;;+47 954 67 890
Anders;M;Larsen;<see naming convention>;Kunde Support;;+47 926 78 901
Ole;R;Nilsen;<see naming convention>;HR;;+47 913 56 789
Per;S;Pedersen;<see naming convention>;Slags;;+47 974 82 356
Bjørn;A;Olsen;<see naming convention>;Slags;;+47 928 34 567
Marius;J;Kristiansen;<see naming convention>;Kunde Support;;+47 935 67 890
Magnus;F;Eriksen;<see naming convention>;Kunde Support;;+47 923 89 012
Eirik;Ø;Ås;<see naming convention>;HR;;+47 962 34 578
Ingrid;Z;Haugen;<see naming convention>;Utviklings;;+47 915 78 234
Astrid;L;Solberg;<see naming convention>;Administrasjon;;+47 938 45 671
Sigrid;Q;Moen;<see naming convention>;Utviklings;;+47 947 29 834
Liv;E;Strand;<see naming convention>;Salgs;;+47 932 45 781
Marit;T;Hagen;<see naming convention>;Utviklings;;+47 922 58 496
Silje;H;Holte;<see naming convention>;Utviklings;;+47 968 72 345
Solveig;;Holte;<see naming convention>;IT;;+47 919 84 265
Ragnhild;B;Madsen;<see naming convention>;IT;;+47 947 34 629
Hanne;Y;Skogen;<see naming convention>;Utviklings;;+47 933 74 581
Aina;D;Aasen;<see naming convention>;Administrasjon;;+47 952 48 736
Aksel;H;Hansen;<see naming convention>;IT;;+47 123 45 678
Ingrid;M;Olsen;<see naming convention>;HR;;+47 234 56 789
Lars;K;Johansen;<see naming convention>;Slags;;+47 345 67 890
Sara;L;Nilsen;<see naming convention>;Kunde Support;;+47 456 78 901
Erik;S;Pedersen;<see naming convention>;Utviklings;;+47 567 89 012
Nina;A;Andersen;<see naming convention>;Administrasjon;;+47 678 90 123
Marius;T;Berg;<see naming convention>;IT;;+47 789 01 234
Emma;B;Haugen;<see naming convention>;HR;;+47 890 12 345
Ole;E;Dahl;<see naming convention>;Slags;;+47 901 23 456
Liv;G;Hagen;<see naming convention>;Kunde Support;;+47 012 34 567
Henrik;N;Lunde;<see naming convention>;Utviklings;;+47 123 45 679
Mari;C;Solberg;<see naming convention>;Administrasjon;;+47 234 56 780
Jonas;D;Svendsen;<see naming convention>;IT;;+47 345 67 891
Anna;F;Kristiansen;<see naming convention>;HR;;+47 456 78 902
Kristian;J;Moe;<see naming convention>;Slags;;+47 567 89 013
Thea;V;Jacobsen;<see naming convention>;Kunde Support;;+47 678 90 124
Magnus;O;Halvorsen;<see naming convention>;Utviklings;;+47 789 01 235
Ida;P;Jørgensen;<see naming convention>;Administrasjon;;+47 890 12 346
Sander;R;Pettersen;<see naming convention>;IT;;+47 901 23 457
Elise;Q;Martinsen;<see naming convention>;Utviklings;;+47 012 34 568
Tobias;U;Kristoffersen;<see naming convention>;Slags;;+47 123 45 680
Nora;W;Sandberg;<see naming convention>;Kunde Support;;+47 234 56 781
Alexander;Y;Andresen;<see naming convention>;Utviklings;;+47 345 67 892
Sofie;Z;Engen;<see naming convention>;Administrasjon;;+47 456 78 903
Markus;I;Ali;<see naming convention>;Slags;;+47 567 89 014
Mia;S;Johannessen;<see naming convention>;Kunde Support;;+47 678 90 125
Filip;D;Andreassen;<see naming convention>;Slags;;+47 789 01 236
Amalie;K;Berge;<see naming convention>;Kunde Support;;+47 890 12 347
Oliver;E;Hassan;<see naming convention>;Utviklings;;+47 901 23 458
Emma;T;Nguyen;<see naming convention>;Administrasjon;;+47 012 34 569
Henrik;L;Eriksen;<see naming convention>;Kunde Support;;+47 123 45 681
Ingrid;M;Holm;<see naming convention>;Administrasjon;;+47 234 56 782
Mathias;B;Svendsen;<see naming convention>;Slags;;+47 345 67 893
Ella;H;Bergersen;<see naming convention>;Kunde Support;;+47 456 78 904
Sebastian;;Carlsen;<see naming convention>;Utviklings;;+47 567 89 015
Julie;C;Gulbrandsen;<see naming convention>;Administrasjon;;+47 678 90 126
Jakob;A;Gabrielsen;<see naming convention>;Kunde Support;;+47 789 01 237
Sofia;V;Sivertsen;<see naming convention>;Kunde Support;;+47 890 12 348
Emil;O;Hansen;<see naming convention>;Slags;;+47 901 23 459
Nora;P;Edvardsen;<see naming convention>;Kunde Support;;+47 012 34 570
Adrian;R;Kristiansen;<see naming convention>;Utviklings;;+47 123 45 682
Linnea;;Fredriksen;<see naming convention>;Administrasjon;;+47 234 56 783
Daniel;U;Henriksen;<see naming convention>;Utviklings;;+47 345 67 894
Sofie;W;Tangen;<see naming convention>;Utviklings;;+47 456 78 905
Leon;Y;Paulsen;<see naming convention>;Slags;;+47 567 89 016
Ella;Z;Antonsen;<see naming convention>;Kunde Support;;+47 678 90 127
Noah;I;Nygård;<see naming convention>;Utviklings;;+47 789 01 238
Emma;S;Henriksen;<see naming convention>;Administrasjon;;+47 890 12 349
Oliver;D;Berge;<see naming convention>;Utviklings;;+47 901 23 460
Leah;K;Lie;<see naming convention>;Utviklings;;+47 012 34 571
Henrik;E;Moe;<see naming convention>;Slags;;+47 123 45 683
Julie;A;Gulbrandsen;<see naming convention>;Administrasjon;;+47 632 90 133
Bjørn;Ø;Håland;<see naming convention>;Kunde Support;;+47 234 56 784
Åse;A;Nørgaard;<see naming convention>;Slags;;+47 345 67 895
Håkon;Å;Møller;<see naming convention>;Utviklings;;+47 456 78 906
Lars;Ø;Johansen;<see naming convention>;Utviklings;;+47 567 89 017
Ingrid;E;Olsen;<see naming convention>;Utviklings;;+47 678 90 128
Synnøve;E;Børresen;<see naming convention>;Administrasjon;;+47 789 01 239
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
